ERROR-SYMBOL AND VN-PAIR ANALYSIS AT 15.0 dB
===========================================================================

SIMULATION INFORMATION
---------------------------------------------------------------------------
Eb/N0                     : 15.0 dB
Total generated frames    : 1000000
Total failed frames       : 102
Observed frame error rate : 1.020000e-04

1. ERROR SYMBOLS IN EVERY FAILED FRAME
---------------------------------------------------------------------------
     Frame   VN index     True symbol  Decoded symbol
---------------------------------------------------------------------------
      4900         26               2               1
      4900         31               7               3
      7820         26               2               1
      7820         31               7               3
     35180         26               2               1
     35180         31               7               6
     40335         22               4               5
     40335         37               0               4
     49390         26               2               6
     49390         31               7               2
     51644         26               2               1
     51644         31               7               3
     58444         26               2               1
     58444         31               7               6
     62470         26               2               1
     62470         31               7               6
     65470         26               2               6
     65470         31               7               2
     74305         26               2               1
     74305         31               7               3
     74711         26               2               6
     74711         31               7               2
     81757         26               2               1
     81757         31               7               3
    106515         22               4               2
    106515         37               0               1
    107523         26               2               3
    107523         31               7               2
    120554         26               2               1
    120554         31               7               3
    134716         22               4               5
    134716         37               0               4
    137598         22               4               5
    137598         37               0               4
    142716         26               2               6
    142716         31               7               2
    149543         26               2               1
    149543         31               7               6
    152318         22               4               5
    152318         37               0               4
    172801         22               4               5
    172801         37               0               4
    196966         26               2               1
    196966         31               7               3
    198875         22               4               1
    198875         37               0               4
    237508         26               2               3
    237508         31               7               2
    244623         22               4               2
    244623         37               0               1
    259208         26               2               6
    259208         31               7               2
    264348         26               2               1
    264348         31               7               6
    266420         22               4               5
    266420         37               0               4
    294752         26               2               1
    294752         31               7               3
    311137         26               2               1
    311137         31               7               6
    312209         26               2               3
    312209         31               7               2
    315696         22               4               5
    315696         37               0               4
    336288         26               2               1
    336288         31               7               3
    357714         26               2               1
    357714         31               7               6
    364576         26               2               1
    364576         31               7               3
    367191         26               2               3
    367191         31               7               2
    367520         26               2               1
    367520         31               7               3
    372250         22               4               2
    372250         37               0               1
    379819         22               4               0
    379819         37               0               6
    388636         22               4               5
    388636         37               0               4
    419173         26               2               1
    419173         31               7               3
    419914         22               4               5
    419914         37               0               4
    424587         26               2               3
    424587         31               7               2
    461521         26               2               3
    461521         31               7               2
    470104         22               4               5
    470104         37               0               4
    475734         26               2               1
    475734         31               7               3
    477286         26               2               6
    477286         31               7               2
    493760         10               2               0
    493760         28               5               4
    493760         29               6               5
    493964         10               2               0
    493964         28               5               4
    493964         29               6               5
    505262         26               2               3
    505262         31               7               2
    507604         22               4               5
    507604         37               0               4
    510003         26               2               1
    510003         31               7               6
    511597         26               2               1
    511597         31               7               6
    514663         22               4               0
    514663         37               0               6
    532217         26               2               1
    532217         31               7               3
    533822         26               2               1
    533822         31               7               3
    534201         22               4               0
    534201         37               0               6
    544562         26               2               1
    544562         31               7               3
    548962         26               2               6
    548962         31               7               2
    581565         22               4               5
    581565         37               0               4
    582371         26               2               3
    582371         31               7               2
    591538         26               2               1
    591538         31               7               3
    593820         26               2               6
    593820         31               7               2
    640459         22               4               0
    640459         37               0               6
    658349         22               4               2
    658349         37               0               1
    662489         22               4               0
    662489         37               0               6
    665983         26               2               3
    665983         31               7               2
    671473         26               2               3
    671473         31               7               2
    693082         22               4               2
    693082         37               0               1
    700573         22               4               0
    700573         37               0               6
    718065         22               4               5
    718065         37               0               4
    727299         22               4               0
    727299         37               0               6
    734533         22               4               5
    734533         37               0               4
    734883         26               2               1
    734883         31               7               6
    737026         26               2               1
    737026         31               7               6
    738205         22               4               2
    738205         37               0               1
    743595         22               4               0
    743595         37               0               6
    747832         22               4               2
    747832         37               0               1
    771135         22               4               5
    771135         37               0               4
    775236         26               2               6
    775236         31               7               2
    778679         22               4               5
    778679         37               0               4
    793817         10               2               6
    793817         28               5               0
    793817         29               6               2
    797718         26               2               6
    797718         31               7               2
    803053         22               4               5
    803053         37               0               4
    834043         26               2               3
    834043         31               7               2
    839554         22               4               5
    839554         37               0               4
    840330         26               2               6
    840330         31               7               2
    845706         22               4               5
    845706         37               0               4
    866533         22               4               0
