ERROR-SYMBOL AND VN-PAIR ANALYSIS AT 15.0 dB
===========================================================================

SIMULATION INFORMATION
---------------------------------------------------------------------------
Eb/N0                     : 15.0 dB
Total generated frames    : 1000000
Total failed frames       : 102
Observed frame error rate : 1.020000e-04

1. ERROR SYMBOLS IN EVERY FAILED FRAME
---------------------------------------------------------------------------
     Frame   VN index     True symbol  Decoded symbol
    866533         37               0               6
    888093         26               2               1
    888093         31               7               6
    891255         22               4               2
    891255         37               0               1
    906800         26               2               1
    906800         31               7               6
    910643         26               2               1
    910643         31               7               6
    912381         22               4               5
    912381         37               0               4
    926715         22               4               5
    926715         37               0               4
    927277         22               4               5
    927277         37               0               4
    929641         22               4               5
    929641         37               0               4
    936668         26               2               1
    936668         31               7               6
    954065         26               2               1
    954065         31               7               6
    957193         22               4               0
    957193         37               0               6
    982956         22               4               5
    982956         37               0               4
    983009         22               4               2
    983009         37               0               1


2. VN-PAIR OCCURRENCE SUMMARY
---------------------------------------------------------------------------
    Rank       VN 1       VN 2    Pair records   Failed frames
---------------------------------------------------------------------------
       1         26         31              55              55
       2         22         37              44              44
       3         10         28               3               3
       4         10         29               3               3
       5         28         29               3               3


3. SYMBOL TRANSITIONS FOR EACH VN PAIR
---------------------------------------------------------------------------

VN pair (26,31)
Pair occurrence count : 55
Failed-frame count    : 55

  VN 26         VN 31         Count   Percentage
  True->Decoded True->Decoded
  -------------------------------------------------------
      2 -> 1        7 -> 3          17       30.91%
      2 -> 1        7 -> 6          16       29.09%
      2 -> 3        7 -> 2          11       20.00%
      2 -> 6        7 -> 2          11       20.00%

VN pair (22,37)
Pair occurrence count : 44
Failed-frame count    : 44

  VN 22         VN 37         Count   Percentage
  True->Decoded True->Decoded
  -------------------------------------------------------
      4 -> 5        0 -> 4          24       54.55%
      4 -> 0        0 -> 6          10       22.73%
      4 -> 2        0 -> 1           9       20.45%
      4 -> 1        0 -> 4           1        2.27%

VN pair (10,28)
Pair occurrence count : 3
Failed-frame count    : 3

  VN 10         VN 28         Count   Percentage
  True->Decoded True->Decoded
  -------------------------------------------------------
      2 -> 0        5 -> 4           2       66.67%
      2 -> 6        5 -> 0           1       33.33%

VN pair (10,29)
Pair occurrence count : 3
Failed-frame count    : 3

  VN 10         VN 29         Count   Percentage
  True->Decoded True->Decoded
  -------------------------------------------------------
      2 -> 0        6 -> 5           2       66.67%
      2 -> 6        6 -> 2           1       33.33%

VN pair (28,29)
Pair occurrence count : 3
Failed-frame count    : 3

  VN 28         VN 29         Count   Percentage
  True->Decoded True->Decoded
  -------------------------------------------------------
      5 -> 4        6 -> 5           2       66.67%
      5 -> 0        6 -> 2           1       33.33%


4. DOMINANT VN PAIR
---------------------------------------------------------------------------
Most frequently observed VN pair : (26,31)
Number of pair occurrences       : 55
Number of failed frames          : 55 of 102
Fraction of failed frames         : 53.92%
