ERROR-SYMBOL AND VN-PAIR ANALYSIS AT 14.0 dB
===========================================================================

SIMULATION INFORMATION
---------------------------------------------------------------------------
Eb/N0                     : 14.0 dB
Total generated frames    : 219156
Total failed frames       : 200
Observed frame error rate : 9.125919e-04

1. ERROR SYMBOLS IN EVERY FAILED FRAME
---------------------------------------------------------------------------
     Frame   VN index     True symbol  Decoded symbol
    155677         22               4               2
    155677         37               0               1
    156650         22               4               5
    156650         37               0               4
    156674         26               2               1
    156674         31               7               6
    156779         26               2               1
    156779         31               7               6
    156806         26               2               3
    156806         31               7               2
    159220         22               4               0
    159220         37               0               6
    160074          5               4               0
    160074         33               7               6
    161354         22               4               5
    161354         37               0               4
    162125         22               4               5
    162125         37               0               4
    166677         22               4               5
    166677         37               0               4
    167508         26               2               1
    167508         31               7               6
    167650         26               2               1
    167650         31               7               3
    169074         26               2               1
    169074         31               7               6
    170910         22               4               2
    170910         37               0               1
    171886         26               2               6
    171886         31               7               2
    174964         26               2               6
    174964         31               7               2
    175702         26               2               6
    175702         31               7               2
    176764         26               2               1
    176764         31               7               3
    176929         22               4               5
    176929         37               0               4
    179244         26               2               1
    179244         31               7               3
    179327         22               4               5
    179327         37               0               4
    181050         22               4               0
    181050         37               0               6
    183886         11               1               0
    183886         27               0               2
    183944         26               2               6
    183944         31               7               2
    184126         22               4               2
    184126         37               0               1
    184198         26               2               1
    184198         31               7               6
    184979         26               2               1
    184979         31               7               3
    185719         22               4               1
    185719         37               0               4
    186306         17               0               5
    186306         20               1               3
    186306         32               1               5
    186381         27               0               4
    186381         31               7               5
    186381         40               7               3
    186498         26               2               1
    186498         31               7               3
    190008         26               2               3
    190008         31               7               2
    193957         22               4               5
    193957         37               0               4
    194093         26               2               6
    194093         31               7               2
    194794         22               4               0
    194794         37               0               6
    195151         22               4               2
    195151         37               0               1
    195371         22               4               2
    195371         37               0               1
    197070         22               4               2
    197070         37               0               1
    197160         26               2               1
    197160         31               7               3
    197305         26               2               0
    197305         31               7               6
    198865         22               4               5
    198865         37               0               4
    199055         22               4               5
    199055         37               0               4
    203443          3               7               6
    203443         36               2               7
    203443         43               7               0
    204360         22               4               0
    204360         37               0               6
    205426         26               2               3
    205426         31               7               2
    205742         22               4               5
    205742         37               0               4
    208288         26               2               3
    208288         31               7               2
    209658         22               4               5
    209658         37               0               4
    216106         22               4               5
    216106         37               0               4
    216242         26               2               5
    216242         31               7               3
    216711          2               5               6
    216711          4               0               4
    217110         26               2               1
    217110         31               7               3
    218655         26               2               6
    218655         31               7               2
    219156         26               2               1
    219156         31               7               3


2. VN-PAIR OCCURRENCE SUMMARY
---------------------------------------------------------------------------
    Rank       VN 1       VN 2    Pair records   Failed frames
---------------------------------------------------------------------------
       1         26         31             115             115
       2         22         37              73              73
       3         10         28               4               4
       4         10         29               3               3
       5         28         29               3               3
       6         23         37               2               2
       7          2          4               1               1
       8          3         36               1               1
       9          3         43               1               1
      10          5         33               1               1
      11          8         13               1               1
      12         10         19               1               1
      13         11         27               1               1
      14         17         20               1               1
      15         17         32               1               1
      16         19         28               1               1
      17         20         32               1               1
      18         22         23               1               1
      19         23         41               1               1
      20         23         44               1               1
      21         27         31               1               1
      22         27         40               1               1
      23         31         40               1               1
      24         36         43               1               1
      25         37         41               1               1
      26         37         44               1               1
      27         41         44               1               1


3. SYMBOL TRANSITIONS FOR EACH VN PAIR
---------------------------------------------------------------------------

VN pair (26,31)
Pair occurrence count : 115
Failed-frame count    : 115

  VN 26         VN 31         Count   Percentage
  True->Decoded True->Decoded
  -------------------------------------------------------
      2 -> 1        7 -> 3          41       35.65%
      2 -> 1        7 -> 6          25       21.74%
      2 -> 6        7 -> 2          24       20.87%
      2 -> 3        7 -> 2          23       20.00%
      2 -> 0        7 -> 6           1        0.87%
      2 -> 5        7 -> 3           1        0.87%

VN pair (22,37)
Pair occurrence count : 73
Failed-frame count    : 73

  VN 22         VN 37         Count   Percentage
  True->Decoded True->Decoded
  -------------------------------------------------------
      4 -> 5        0 -> 4          33       45.21%
      4 -> 2        0 -> 1          24       32.88%
      4 -> 0        0 -> 6          14       19.18%
      4 -> 1        0 -> 4           1        1.37%
      4 -> 3        0 -> 1           1        1.37%

VN pair (10,28)
Pair occurrence count : 4
Failed-frame count    : 4

  VN 10         VN 28         Count   Percentage
  True->Decoded True->Decoded
  -------------------------------------------------------
      2 -> 1        5 -> 4           4      100.00%

VN pair (10,29)
Pair occurrence count : 3
Failed-frame count    : 3

  VN 10         VN 29         Count   Percentage
  True->Decoded True->Decoded
  -------------------------------------------------------
      2 -> 1        6 -> 5           3      100.00%

VN pair (28,29)
Pair occurrence count : 3
Failed-frame count    : 3

  VN 28         VN 29         Count   Percentage
  True->Decoded True->Decoded
  -------------------------------------------------------
      5 -> 4        6 -> 5           3      100.00%

VN pair (23,37)
Pair occurrence count : 2
Failed-frame count    : 2

  VN 23         VN 37         Count   Percentage
  True->Decoded True->Decoded
  -------------------------------------------------------
      1 -> 6        0 -> 1           1       50.00%
      1 -> 6        0 -> 4           1       50.00%

VN pair (2,4)
Pair occurrence count : 1
Failed-frame count    : 1

  VN 2         VN 4         Count   Percentage
  True->Decoded True->Decoded
  -------------------------------------------------------
      5 -> 6        0 -> 4           1      100.00%

VN pair (3,36)
Pair occurrence count : 1
Failed-frame count    : 1

  VN 3         VN 36         Count   Percentage
  True->Decoded True->Decoded
  -------------------------------------------------------
      7 -> 6        2 -> 7           1      100.00%

VN pair (3,43)
Pair occurrence count : 1
Failed-frame count    : 1

  VN 3         VN 43         Count   Percentage
  True->Decoded True->Decoded
  -------------------------------------------------------
      7 -> 6        7 -> 0           1      100.00%

VN pair (5,33)
Pair occurrence count : 1
Failed-frame count    : 1

  VN 5         VN 33         Count   Percentage
  True->Decoded True->Decoded
  -------------------------------------------------------
      4 -> 0        7 -> 6           1      100.00%

VN pair (8,13)
Pair occurrence count : 1
