DOMINANT VN-PAIR CN-STATUS REPORT
Eb/N0 = 14.0 dB
============================================================

Dominant pair: (v_26, v_31)
Connected CNs: [9 22]
Number of failed frames: 115

Frame-by-frame CN status:
------------------------------------------------------------
Frame 167508: CN 9 = satisfied, CN 22 = UNSATISFIED
Frame 167650: CN 9 = UNSATISFIED, CN 22 = satisfied
Frame 169074: CN 9 = satisfied, CN 22 = UNSATISFIED
Frame 171886: CN 9 = satisfied, CN 22 = UNSATISFIED
Frame 174964: CN 9 = satisfied, CN 22 = UNSATISFIED
Frame 175702: CN 9 = satisfied, CN 22 = UNSATISFIED
Frame 176764: CN 9 = UNSATISFIED, CN 22 = satisfied
Frame 179244: CN 9 = UNSATISFIED, CN 22 = satisfied
Frame 183944: CN 9 = satisfied, CN 22 = UNSATISFIED
Frame 184198: CN 9 = satisfied, CN 22 = UNSATISFIED
Frame 184979: CN 9 = UNSATISFIED, CN 22 = satisfied
Frame 186498: CN 9 = UNSATISFIED, CN 22 = satisfied
Frame 190008: CN 9 = UNSATISFIED, CN 22 = satisfied
Frame 194093: CN 9 = satisfied, CN 22 = UNSATISFIED
Frame 197160: CN 9 = UNSATISFIED, CN 22 = satisfied
Frame 197305: CN 9 = UNSATISFIED, CN 22 = satisfied
Frame 205426: CN 9 = UNSATISFIED, CN 22 = satisfied
Frame 208288: CN 9 = UNSATISFIED, CN 22 = satisfied
Frame 216242: CN 9 = satisfied, CN 22 = UNSATISFIED
Frame 217110: CN 9 = UNSATISFIED, CN 22 = satisfied
Frame 218655: CN 9 = satisfied, CN 22 = UNSATISFIED
Frame 219156: CN 9 = UNSATISFIED, CN 22 = satisfied

CN-status summary:
------------------------------------------------------------
CN 9: UNSATISFIED in 65 frames, satisfied in 50 frames
CN 22: UNSATISFIED in 50 frames, satisfied in 65 frames

============================================================

Dominant pair: (v_22, v_37)
Connected CNs: [3 21]
Number of failed frames: 72

Frame-by-frame CN status:
------------------------------------------------------------
